**************** bmn_run479211_raw Chamber 1 primary equalization *******************************

Chamber #1 preliminary channel offsets (average is 4162.954590)
   strip 1 time shift (left+right)/2 = 56.697266
   strip 2 time shift (left+right)/2 = 9.497070
   strip 3 time shift (left+right)/2 = -12.502930
   strip 4 time shift (left+right)/2 = 17.497070
   strip 5 time shift (left+right)/2 = -22.502930
   strip 6 time shift (left+right)/2 = -35.502930
   strip 7 time shift (left+right)/2 = 12.296875
   strip 8 time shift (left+right)/2 = -7.502930
   strip 9 time shift (left+right)/2 = -0.502930
   strip 10 time shift (left+right)/2 = -22.502930
   strip 11 time shift (left+right)/2 = -2.502930
   strip 12 time shift (left+right)/2 = 0.000000
   strip 13 time shift (left+right)/2 = -40.502930
   strip 14 time shift (left+right)/2 = -36.502930
   strip 15 time shift (left+right)/2 = 29.497070
   strip 16 time shift (left+right)/2 = -40.502930
   strip 17 time shift (left+right)/2 = -38.502930
   strip 18 time shift (left+right)/2 = 16.497070
   strip 19 time shift (left+right)/2 = 65.497070
   strip 20 time shift (left+right)/2 = 17.497070
   strip 21 time shift (left+right)/2 = 53.497070
   strip 22 time shift (left+right)/2 = -27.502930
   strip 23 time shift (left+right)/2 = 7.497070
   strip 24 time shift (left+right)/2 = 52.830078
   strip 25 time shift (left+right)/2 = 51.497070
   strip 26 time shift (left+right)/2 = -28.502930
   strip 27 time shift (left+right)/2 = -20.502930
   strip 28 time shift (left+right)/2 = -34.502930
   strip 29 time shift (left+right)/2 = -4.502930
   strip 30 time shift (left+right)/2 = -32.216797
   strip 31 time shift (left+right)/2 = 16.997070
**************** bmn_run479211_raw Chamber 12 primary equalization *******************************

Chamber #12 preliminary channel offsets (average is 9954.958008)
   strip 0 time shift (left+right)/2 = 0.000000
   strip 1 time shift (left+right)/2 = -30.625000
   strip 2 time shift (left+right)/2 = -13.958008
   strip 3 time shift (left+right)/2 = 0.000000
   strip 4 time shift (left+right)/2 = -29.958008
   strip 5 time shift (left+right)/2 = 0.000000
   strip 6 time shift (left+right)/2 = 0.000000
   strip 7 time shift (left+right)/2 = 0.000000
   strip 8 time shift (left+right)/2 = 0.000000
   strip 9 time shift (left+right)/2 = 0.000000
   strip 10 time shift (left+right)/2 = 0.000000
   strip 11 time shift (left+right)/2 = 22.041992
   strip 12 time shift (left+right)/2 = 10.041992
   strip 13 time shift (left+right)/2 = -29.958008
   strip 14 time shift (left+right)/2 = 0.000000
   strip 15 time shift (left+right)/2 = 0.000000
   strip 16 time shift (left+right)/2 = 0.000000
   strip 17 time shift (left+right)/2 = 10.041992
   strip 18 time shift (left+right)/2 = 14.041992
   strip 19 time shift (left+right)/2 = 0.000000
   strip 20 time shift (left+right)/2 = 10.041992
   strip 21 time shift (left+right)/2 = 0.000000
   strip 22 time shift (left+right)/2 = -43.958008
   strip 23 time shift (left+right)/2 = 10.041992
   strip 24 time shift (left+right)/2 = 36.041992
   strip 25 time shift (left+right)/2 = 0.000000
   strip 26 time shift (left+right)/2 = -17.958008
   strip 27 time shift (left+right)/2 = 26.041992
   strip 28 time shift (left+right)/2 = 34.041992
   strip 29 time shift (left+right)/2 = -5.958008
   strip 30 time shift (left+right)/2 = 0.000000
   strip 31 time shift (left+right)/2 = 0.000000
**************** bmn_run479211_raw Chamber 13 primary equalization *******************************

Chamber #13 preliminary channel offsets (average is 5901.611328)
   strip 0 time shift (left+right)/2 = 0.000000
   strip 1 time shift (left+right)/2 = 35.388672
   strip 2 time shift (left+right)/2 = 41.388672
   strip 3 time shift (left+right)/2 = 0.000000
   strip 4 time shift (left+right)/2 = 0.000000
   strip 5 time shift (left+right)/2 = -12.611328
   strip 6 time shift (left+right)/2 = 5.388672
   strip 7 time shift (left+right)/2 = 5.388672
   strip 8 time shift (left+right)/2 = 9.388672
   strip 9 time shift (left+right)/2 = 1.388672
   strip 10 time shift (left+right)/2 = -22.611328
   strip 11 time shift (left+right)/2 = -8.611328
   strip 12 time shift (left+right)/2 = 21.388672
   strip 13 time shift (left+right)/2 = 0.000000
   strip 14 time shift (left+right)/2 = -17.611328
   strip 15 time shift (left+right)/2 = 0.000000
   strip 16 time shift (left+right)/2 = 0.000000
   strip 17 time shift (left+right)/2 = 9.388672
   strip 18 time shift (left+right)/2 = 0.000000
   strip 19 time shift (left+right)/2 = 0.000000
   strip 20 time shift (left+right)/2 = 0.000000
   strip 21 time shift (left+right)/2 = -40.611328
   strip 22 time shift (left+right)/2 = 0.000000
   strip 23 time shift (left+right)/2 = 0.000000
   strip 24 time shift (left+right)/2 = 0.000000
   strip 25 time shift (left+right)/2 = 0.000000
   strip 26 time shift (left+right)/2 = 29.388672
   strip 27 time shift (left+right)/2 = 5.388672
   strip 28 time shift (left+right)/2 = 17.388672
   strip 29 time shift (left+right)/2 = -32.611328
   strip 30 time shift (left+right)/2 = 0.000000
   strip 31 time shift (left+right)/2 = -46.611328
**************** bmn_run479211_raw Chamber 14 primary equalization *******************************

Chamber #14 preliminary channel offsets (average is 7440.600098)
   strip 0 time shift (left+right)/2 = 0.000000
   strip 1 time shift (left+right)/2 = 0.000000
   strip 2 time shift (left+right)/2 = 42.399902
   strip 3 time shift (left+right)/2 = 0.000000
   strip 4 time shift (left+right)/2 = 0.000000
   strip 5 time shift (left+right)/2 = 0.000000
   strip 6 time shift (left+right)/2 = 0.000000
   strip 7 time shift (left+right)/2 = 0.000000
   strip 8 time shift (left+right)/2 = 0.000000
   strip 9 time shift (left+right)/2 = 0.000000
   strip 10 time shift (left+right)/2 = 0.000000
   strip 11 time shift (left+right)/2 = -5.600098
   strip 12 time shift (left+right)/2 = 0.000000
   strip 13 time shift (left+right)/2 = 0.000000
   strip 14 time shift (left+right)/2 = 0.399902
   strip 15 time shift (left+right)/2 = -45.600098
   strip 16 time shift (left+right)/2 = 30.399902
   strip 17 time shift (left+right)/2 = 0.000000
   strip 18 time shift (left+right)/2 = -43.600098
   strip 19 time shift (left+right)/2 = -20.600098
   strip 20 time shift (left+right)/2 = -13.600098
   strip 21 time shift (left+right)/2 = 0.000000
   strip 22 time shift (left+right)/2 = 36.399902
   strip 23 time shift (left+right)/2 = 25.399902
   strip 24 time shift (left+right)/2 = 46.399902
   strip 25 time shift (left+right)/2 = 0.000000
   strip 26 time shift (left+right)/2 = 0.000000
   strip 27 time shift (left+right)/2 = 12.399902
   strip 28 time shift (left+right)/2 = -31.600098
   strip 29 time shift (left+right)/2 = 0.000000
   strip 30 time shift (left+right)/2 = -35.600098
   strip 31 time shift (left+right)/2 = 2.399902
**************** bmn_run479211_raw Chamber 15 primary equalization *******************************

Chamber #15 preliminary channel offsets (average is 9391.661133)
   strip 0 time shift (left+right)/2 = 0.000000
   strip 1 time shift (left+right)/2 = -8.661133
   strip 2 time shift (left+right)/2 = 49.338867
   strip 3 time shift (left+right)/2 = 15.338867
   strip 4 time shift (left+right)/2 = -32.661133
   strip 5 time shift (left+right)/2 = -42.661133
   strip 6 time shift (left+right)/2 = -24.661133
   strip 7 time shift (left+right)/2 = 11.338867
   strip 8 time shift (left+right)/2 = -39.661133
   strip 9 time shift (left+right)/2 = -41.661133
   strip 10 time shift (left+right)/2 = -10.661133
   strip 11 time shift (left+right)/2 = 25.338867
   strip 12 time shift (left+right)/2 = 43.338867
   strip 13 time shift (left+right)/2 = -32.661133
   strip 14 time shift (left+right)/2 = 15.338867
   strip 15 time shift (left+right)/2 = 43.338867
   strip 16 time shift (left+right)/2 = -10.661133
   strip 17 time shift (left+right)/2 = -36.661133
   strip 18 time shift (left+right)/2 = 73.338867
   strip 19 time shift (left+right)/2 = -12.661133
   strip 20 time shift (left+right)/2 = 35.838867
   strip 21 time shift (left+right)/2 = 13.338867
   strip 22 time shift (left+right)/2 = 1.338867
   strip 23 time shift (left+right)/2 = 25.338867
   strip 24 time shift (left+right)/2 = 1.338867
   strip 25 time shift (left+right)/2 = 65.338867
   strip 26 time shift (left+right)/2 = -38.661133
   strip 27 time shift (left+right)/2 = -28.661133
   strip 28 time shift (left+right)/2 = -18.661133
   strip 29 time shift (left+right)/2 = -14.661133
   strip 30 time shift (left+right)/2 = -42.661133
   strip 31 time shift (left+right)/2 = 17.338867
**************** bmn_run479211_raw Chamber 16 primary equalization *******************************

Chamber #16 preliminary channel offsets (average is 4805.532227)
   strip 0 time shift (left+right)/2 = 0.000000
   strip 1 time shift (left+right)/2 = 25.467773
   strip 2 time shift (left+right)/2 = -25.198730
   strip 3 time shift (left+right)/2 = 77.467773
   strip 4 time shift (left+right)/2 = -29.532227
   strip 5 time shift (left+right)/2 = -34.532227
   strip 6 time shift (left+right)/2 = -34.532227
   strip 7 time shift (left+right)/2 = 9.467773
   strip 8 time shift (left+right)/2 = -4.532227
   strip 9 time shift (left+right)/2 = -18.532227
   strip 10 time shift (left+right)/2 = -21.532227
   strip 11 time shift (left+right)/2 = 59.067871
   strip 12 time shift (left+right)/2 = 77.467773
   strip 13 time shift (left+right)/2 = -34.532227
   strip 14 time shift (left+right)/2 = -18.532227
   strip 15 time shift (left+right)/2 = -32.532227
